id,zipcode,score
186,78258,55
187,75438,0
188,22003,52
189,67009,1
191,64779,2
192,59926,0
193,66007,4
194,72616,8
195,76115,12
196,77386,27
197,30034,16
198,83867,0
199,3581,5
200,33637,15
202,50023,20
203,72068,0
204,1344,1
205,97040,1
206,25031,0
207,37208,12
208,31620,9
209,44905,8
210,95928,43
211,37301,1
212,67219,12
213,52727,0
214,48649,0
215,37753,1
216,65026,9
217,31314,2
218,30040,68
219,59531,0
221,68928,0
222,46350,32
223,61943,1
224,54409,15
226,65676,0
228,14454,8
229,62560,2
230,16240,1
231,53139,2
232,95932,6
234,2763,5
236,73568,0
237,27927,6
238,79029,13
240,55603,1
241,32765,56
242,66851,0
244,31712,0
245,15345,1
246,4654,5
248,84120,25
249,56667,0
250,8518,2
251,44659,1
252,13630,1
253,30814,3
254,21770,4
255,55953,1
256,28684,1
257,66020,1
259,97232,47
260,92866,18
261,58727,0
262,84535,3
264,20618,1
265,78641,26
266,25113,0
267,41203,0
268,38578,0
269,58647,1
270,75925,2
271,25251,0
272,37028,0
274,21601,38
275,87124,32
276,26181,2
277,34772,10
279,2919,35
281,50008,0
282,5086,0
283,5456,1
284,47581,1
285,32565,3
287,22539,2
289,97882,2
290,65260,0
291,47023,1
292,59262,1
294,8326,1
295,6524,4
296,44709,11
298,59864,7
299,39735,3
300,78417,4
301,36442,2
302,48837,11
303,84645,2
304,52341,0
305,42236,0
307,39232,33
309,94576,0
310,6260,11
311,91801,49
312,77656,10
315,86413,2
317,92309,1
319,15214,3
322,74801,17
323,93261,0
324,39574,4
325,39073,10
327,4650,0
328,67467,3
329,63103,32
330,18976,20
331,62204,1
332,48634,3
333,80013,23
334,70775,6
335,15082,0
336,16145,2
337,37708,3
338,40923,0
340,32080,24
342,59804,9
344,98418,6
347,62366,1
349,47369,1
350,39402,47
351,60188,39
354,36901,0
355,31092,3
357,22802,16
359,56440,1
360,28205,43
361,45684,0
362,78746,90
363,81123,0
364,55115,6
365,80833,0
366,68624,0
367,52222,0
368,27242,1
369,71006,6
370,4781,1
371,92562,59
372,62238,0
374,75644,9
376,2644,3
378,18250,1
379,24983,2
381,19316,0
382,95817,6
383,23958,1
384,48449,1
387,72952,1
388,14590,3
391,46614,17
392,21052,0
393,60402,32
395,75437,0
396,12037,6
397,87535,0
400,63771,2
401,66734,0
403,17543,32
404,86431,0
405,16943,0
406,16662,4
407,16246,0
408,19436,0
409,34432,7
411,2339,23
412,93220,0
413,25035,1
414,95621,14
416,49058,14
417,68406,0
418,57279,1
419,16353,2
420,94040,36
421,97230,41
422,50229,1
423,20838,1
424,73716,0
425,37760,10
426,15715,1
427,13488,0
429,60154,17
430,77086,16
432,66936,0
433,51540,0
435,19102,44
436,73538,3
437,75065,7
438,49421,2
439,27953,0
440,47003,0
441,17827,0
442,52807,30
443,8820,41
445,30324,40
446,78204,8
447,89002,8
448,11206,49
449,42217,2
450,3224,1
451,4255,1
453,28168,4
454,92801,52
455,7004,46
460,69128,0
461,45402,27
462,47613,2
463,15490,0
464,64061,2
466,30179,5
469,45819,0
471,48225,9
472,18332,1
473,70510,20
474,20024,16
476,71968,3
477,22032,13
478,98587,0
479,12187,0
480,74116,16
481,98349,2
482,10472,22
483,2864,27
484,3240,0
485,32639,0
486,48659,1
488,32619,2
489,2330,7
490,73628,2
491,62824,1
492,76008,12
494,32960,51
498,55941,1
500,24598,1
501,45203,8
502,68463,1
504,13494,0
505,71423,1
507,55732,1
508,75021,3
509,61241,4
511,65605,9
512,76006,16
513,55076,13
514,76117,28
515,33173,37
516,78004,1
517,71082,3
518,14716,1
520,32809,60
521,48118,12
522,33772,21
523,76693,1
525,38943,0
526,14784,0
527,97042,2
528,58784,5
529,38109,12
532,81136,0
533,8724,24
534,38680,1
535,17756,13
536,53132,25
537,34607,6
538,80815,1
540,57058,3
541,2121,7
542,83115,1
544,97148,3
545,34761,34
546,43734,1
547,5739,1
548,22660,1
550,4237,0
551,97444,6
552,40031,15
553,27597,14
554,55124,36
556,32442,1
558,25268,0
559,99586,0
560,99004,9
561,21872,1
562,27563,2
563,70420,4
564,47303,25
565,55990,1
566,93432,1
567,40819,0
569,83325,1
570,75462,6
571,61370,1
572,50648,3
573,63967,1
574,46539,1
575,16405,0
576,85027,54
577,16928,1
581,15052,1
583,37411,14
584,37058,4
585,3229,4
586,46030,2
588,79789,1
589,81149,0
590,74856,1
591,46071,2
592,45701,26
594,54447,0
595,76462,2
596,21402,1
597,12916,1
598,17540,10
599,28333,2
600,14441,0
601,30055,1
602,96125,0
603,91306,17
606,10993,4
607,95632,13
608,58467,1
609,78617,6
610,79121,10
611,29108,18
612,25121,0
613,64778,0
614,38107,5
615,8514,4
616,35071,13
617,76638,1
619,92861,6
620,91360,51
621,81122,7
622,65806,19
623,92401,8
624,36786,1
625,2364,14
626,77382,22
627,29061,3
630,27821,0
631,68788,7
633,99628,0
634,47356,3
635,64151,15
636,70714,9
637,46394,6
639,41274,0
640,95023,30
641,11518,10
642,5072,1
644,15202,12
645,49690,7
646,53589,16
647,12842,1
648,76148,14
649,44113,44
650,36432,1
651,81601,34
652,97026,2
653,50123,1
654,11106,40
655,29566,14
658,63739,0
659,92260,54
660,21225,13
661,14891,6
662,15828,0
663,16930,1
665,19465,12
666,61260,0
667,15139,8
668,3259,0
669,12186,4
671,45342,25
672,12503,1
673,17249,0
675,28606,1
676,50210,1
677,27968,1
678,27808,2
679,93426,1
680,43986,1
681,74901,1
683,72156,0
684,70715,1
685,87007,0
686,54562,3
687,62410,0
688,83623,1
689,33458,78
690,18322,6
692,48658,6
693,49827,1
694,59301,15
695,31058,1
696,47993,2
697,32461,2
698,33030,25
700,94019,16
702,4270,5
704,27127,19
705,57717,10
706,7834,24
707,78359,1
708,43526,4
709,66403,1
710,83440,30
711,75009,7
712,6511,41
713,13411,2
714,54826,0
716,31827,1
717,34688,7
718,14091,0
721,60955,1
723,19034,21
724,63135,16
725,28642,4
726,80033,46
727,4758,2
728,25214,0
729,2130,24
730,72181,0
731,22974,4
732,99833,6
733,67209,24
734,19010,26
736,50544,0
737,63350,0
738,95497,1
739,81424,1
741,97633,2
742,54559,0
743,29114,1
745,54856,1
746,63966,1
747,19119,11
748,42371,0
749,36590,1
750,12501,2
751,16834,0
753,32246,43
754,35016,12
755,33172,97
756,35210,22
757,2666,2
758,52224,2
759,21875,3
760,80611,0
761,52543,0
763,98531,24
764,29567,0
765,77047,9
769,40729,2
770,98039,2
771,62938,2
772,34762,1
773,6111,30
774,95448,27
775,14081,2
777,56314,1
779,81418,1
780,3281,5
781,15144,3
782,28109,0
783,24072,0
784,12834,6
785,44260,7
787,77351,20
788,50235,0
789,55322,3
791,20171,54
793,46805,29
794,36532,31
795,49234,2
796,13367,8
797,73029,1
798,39440,26
799,55424,11
801,79124,11
802,64011,2
803,49418,37
804,1009,1
805,6103,24
806,45101,1
807,45805,21
808,89003,1
809,4655,1
812,47459,1
814,71631,0
815,54491,1
816,84539,0
817,3256,1
819,92561,1
820,78045,63
821,28385,1
822,10960,22
824,89447,6
825,18829,0
826,78756,21
827,61866,8
828,61756,1
829,32757,25
830,69170,0
832,61776,1
836,78549,0
838,74604,5
839,43932,0
840,96785,1
841,52640,1
843,49446,1
844,33610,41
845,41016,2
847,50020,1
849,74060,0
850,28277,83
851,24476,0
852,7723,2
853,32948,3
854,43085,33
855,22191,35
856,49710,0
857,85215,22
858,23503,8
859,78123,1
860,42712,1
861,81657,18
863,55708,1
864,10301,25
865,53079,1
866,71063,0
867,75555,0
868,7760,9
869,46809,14
870,64036,0
871,17844,8
872,37755,1
873,15848,1
874,37616,1
876,54901,25
877,94607,51
878,60137,37
880,24314,1
881,72539,0
882,48116,43
883,41543,0
884,55374,20
885,70749,0
886,36104,26
887,19056,10
888,87023,0
889,98371,22
890,32696,9
891,45377,13
892,29576,30
895,37336,1
896,44137,12
897,98380,3
898,4046,11
899,4224,1
900,29205,24
901,41719,0
902,12051,2
905,77533,0
906,18438,1
907,51454,1
909,99921,2
910,98370,32
911,4760,0
912,17752,3
913,52584,0
915,26263,0
916,42553,1
919,36870,4
920,40927,0
922,34434,3
923,71601,15
924,90249,25
925,30152,28
926,16341,1
927,50602,2
928,71256,0
929,77435,3
931,42214,0
932,78652,4
934,7306,43
935,93706,20
936,34797,1
937,48120,8
938,82050,0
939,87044,0
940,71071,2
941,77050,1
942,21838,1
944,3053,25
946,7869,25
947,37179,5
950,44811,10
952,76859,2
953,4434,1
954,61727,9
957,54911,34
958,29105,0
960,64166,0
961,46229,18
962,90505,73
963,46180,1
964,13319,1
965,31605,8
966,72442,2
967,36321,1
968,63960,2
969,96067,11
970,66049,24
971,70445,5
972,52227,1
974,22948,0
975,14212,6
976,60504,40
977,54463,1
979,38340,7
980,95619,5
981,63446,0
982,3608,4
984,15631,0
985,67762,0
987,39648,23
988,78414,17
989,78754,20
990,48014,3
992,74750,0
994,91916,1
995,84767,3
996,24265,0
997,60136,6
998,60553,0
999,22551,6
1001,32408,15
1002,43759,0
1005,35206,7
1007,32177,25
1008,94122,40
1010,21861,0
1013,54651,1
1014,75074,69
1015,29625,15
1016,58520,0
1017,17764,2
1018,68124,20
1021,95018,6
1022,17027,0
1023,16830,16
1024,25526,21
1026,47612,0
1027,64097,1
1030,94924,2
1031,87901,5
1033,95935,0
1034,44425,11
1035,7052,41
1036,18054,3
1037,31313,21
1038,61102,7
1039,48892,2
1040,14550,1
1041,36110,6
1042,51034,2
1043,94503,11
1044,4455,1
1046,18970,1
1047,67737,1
1048,67751,0
1050,38040,2
1051,45409,10
1052,78342,0
1053,72730,5
1054,16052,2
1055,32331,1
1056,54153,6
1057,74370,1
1058,47631,2
1059,51101,17
1060,28513,6
1061,7847,3
1062,95017,0
1063,33973,2
1064,12406,1
1066,80478,3
1067,56560,30
1068,25425,3
1069,71279,0
1070,20693,0
1071,73931,0
1072,3076,10
1074,86044,0
1075,72020,1
1076,75944,0
1077,56339,1
1078,8009,14
1079,33065,57
1080,10933,0
1082,32693,6
1083,10455,27
1085,53528,5
1086,12884,0
1087,46069,4
1088,91980,1
1089,33823,20
1090,43323,0
1092,22963,7
1093,95677,27
1095,62963,0
1097,10465,20
1099,12124,0
1101,20624,1
1102,4736,9
1103,80603,6
1104,66956,2
1105,68770,1
1106,96722,4
1107,13820,25
1108,20198,3
1109,93534,44
1110,1068,1
1111,62985,0
1112,66873,0
1114,2061,22
1115,36507,12
1116,3227,1
1117,95672,2
1118,54433,1
1119,27522,9
1120,15642,34
1122,74361,16
1123,80816,3
1124,92602,20
1125,71852,8
1126,6282,0
1127,4257,2
1128,58656,0
1130,80469,0
1131,67423,0
1132,67427,0
1133,46221,12
1134,52338,2
1135,68069,3
1136,80137,2
1137,35962,2
1139,55003,2
1141,82005,1
1142,38237,10
1143,4043,16
1144,74363,1
1145,76627,0
1146,75852,0
1147,22406,17
1148,27828,6
1149,63869,6
1150,67108,1
1151,29464,88
1152,50578,1
1153,72083,0
1154,23011,1
1155,44046,1
1156,14467,7
1157,14103,8
1159,17094,1
1160,19122,11
1161,23947,4
1162,11572,40
1163,27884,1
1164,44882,2
1165,1527,11
1167,70119,35
1168,67621,0
1169,65334,0
1170,17363,5
1171,64436,1
1172,85268,23
1173,72650,3
1176,95610,32
1177,80804,0
1179,32931,20
1180,61032,27
1182,19114,18
1183,61358,0
1186,25064,7
1187,72467,0
1188,82716,23
1189,62234,24
1190,87042,2
1191,58640,3
1194,59043,1
1195,15431,2
1196,96731,2
1198,85631,1
1200,44685,19
1201,33880,32
1203,11507,11
1204,70734,8
1205,1467,0
1207,75961,18
1208,63857,14
1209,39352,0
1210,62280,0
1211,80905,14
1212,93544,0
1214,50558,0
1215,95404,42
1216,12508,13
1217,55362,17
1218,23227,18
1219,78953,1
1221,11010,25
1222,50622,2
1223,18853,3
1224,98367,11
1225,21524,0
1227,54435,1
1228,58718,2
1229,37680,0
1230,95369,0
1232,20194,6
1233,23924,4
1234,37664,14
1235,74536,1
1236,99661,1
1237,62301,39
1238,78233,27
1239,55395,3
1240,62245,2
1241,16935,1
1243,80513,14
1244,12463,1
1245,26170,4
1247,43511,0
1248,24527,2
1249,43333,0
1250,92841,28
1251,15611,1
1252,1242,1
1253,27023,8
1254,71465,2
1255,56085,6
1256,65233,12
1257,54632,1
1258,55802,26
1259,63735,1
1261,49091,16
1262,30809,30
1265,55069,4
1267,25148,0
1268,41121,0
1269,57363,0
1270,8341,0
1271,17006,1
1272,31415,7
1273,75750,1
1274,96142,1
1276,35971,2
1277,62987,0
1278,40475,42
1279,79382,5
1280,7980,4
1281,16652,14
1282,12066,1
1284,2347,10
1285,11430,12
1286,17331,44
1287,27349,2
1288,70070,7
1289,45426,5
1290,97227,18
1292,59018,1
1293,85298,14
1295,59215,2
1299,82935,9
1300,96710,0
1301,13796,1
1302,7076,20
1303,1851,16
1304,11930,5
1305,3044,2
1306,48202,16
1308,75153,0
1309,38848,0
1310,45106,4
1311,15551,0
1312,20688,4
1313,31007,0
1314,30134,29
1317,52160,1
1318,4762,0
1319,62249,16
1320,74932,1
1321,36048,1
1323,36033,2
1324,63017,62
1325,75630,1
1327,46574,3
1328,65781,4
1329,25301,29
1331,13616,0
1332,53503,1
1333,75056,31
1334,36553,1
1335,1032,1
1337,60081,9
1338,22623,0
1339,72519,2
1342,37748,10
1343,85044,35
1344,66071,11
1345,18847,3
1346,20777,4
1347,12992,2
1348,58374,0
1349,79922,9
1350,25520,0
1352,45772,0
1353,33830,20
1354,24487,0
1355,34292,17
1356,38847,2
1357,58346,1
1358,53585,1
1359,81631,17
1360,64748,1
1361,56175,3
1362,77441,7
1363,64506,30
1364,1036,4
1367,82201,7
1368,79713,0
1369,47853,0
1370,57370,0
1371,60449,8
1372,77551,14
1373,95662,20
1374,64752,1
1375,44509,8
1376,89415,2
1377,63764,5
1378,87062,0
1380,70450,0
1381,50536,6
1382,15325,0
1383,14824,0
1384,27603,55
1386,50668,1
1389,28092,25
1390,70031,1
1392,89131,19
1393,72768,0
1394,56349,1
1395,98819,0
1396,47337,0
1397,43060,1
1399,29624,12
1401,57718,6
1402,15863,0
1404,47346,3
1405,77563,4
1406,76692,6
1407,52218,0
1409,5070,0
1410,44667,12
1411,98273,35
1412,57330,0
1413,63544,0
1414,56576,0
1415,53580,0
1416,51331,3
1417,14005,1
1418,72030,0
1420,13468,0
1422,50666,1
1423,56763,5
1424,48847,5
1425,66951,1
1426,3848,6
1427,45622,0
1428,60523,52
1429,84642,2
1430,67749,3
1431,23851,12
1432,60074,27
1433,50171,3
1434,30141,19
1435,31831,1
1436,53040,6
1437,32220,9
1438,32738,13
1439,61877,1
1440,70748,2
1441,45171,2
1442,83110,7
1443,85333,0
1445,63656,0
1446,38631,0
1448,47980,1
1449,85935,6
1452,7405,19
1453,83423,1
1454,29406,48
1455,15745,0
1457,84331,0
1459,48060,33
1460,7976,1
1461,2038,30
1462,2025,10
1463,29720,27
1465,79526,1
1466,71355,1
1470,48625,6
1471,46373,12
1472,27021,11
1473,50476,1
1475,70646,0
1476,39744,4
1477,45054,1
1480,24977,0
1481,97217,42
1482,39476,4
1483,65014,1
1484,49101,2
1485,85323,16
1486,65332,1
1487,16346,5
1488,18954,12
1493,76550,11
1494,40245,20
1495,26270,0
1496,83851,1
1497,73647,0
1498,96813,99
1499,80483,1
1500,43144,0
1501,62454,10
1502,29206,18
1503,34266,14
1504,87565,0
1505,84047,45
1506,29037,0
1507,2126,7
1508,87045,0
1509,63531,0
1510,4543,7
1512,40006,2
1513,46058,1
1514,22952,1
1515,55616,6
1517,83616,34
1518,83638,16
1519,76227,13
1520,37141,0
1521,63048,3
1522,74937,2
1523,48185,34
1524,85543,1
1525,5738,1
1526,70451,0
1527,5201,18
1528,8332,21
1530,26273,0
1531,25831,0
1532,37128,17
1533,24067,1
1534,39577,9
1535,46760,0
1536,27371,7
1538,46218,16
1539,92807,53
1540,32935,43
1541,58068,0
1542,28375,0
1543,31405,43
1544,2114,25
1545,2071,1
1546,61738,4
1547,78663,1
1548,72440,0
1551,6441,3
1553,61244,13
1554,56521,1
1555,24504,12
1556,30170,1
1557,16511,6
1558,13409,1
1559,94928,30
1560,58630,0
1561,25235,0
1566,26855,0
1567,31520,32
1568,20147,53
1570,29689,2
1571,2908,19
1572,48122,6
1573,54448,4
1574,68732,0
1575,42066,19
1576,65570,0
1577,53128,4
1579,47246,2
1580,19403,38
1582,14859,0
1583,20175,32
1584,11203,32
1585,60918,0
1586,26440,0
1587,96701,39
1588,74647,2
1589,91914,16
1590,85383,28
1591,33442,44
1592,36578,1
1593,44250,0
1594,48876,2
1595,72401,62
1597,90057,25
1598,30471,1
1599,76437,4
1600,98279,1
1602,93610,7
1603,68022,19
1605,65757,6
1606,59247,0
1607,12786,1
1608,17033,20
1609,62477,1
1610,4605,22
1611,68791,3
1612,63384,1
1613,83813,1
1614,55904,23
1615,39664,0
1616,79102,11
1617,29229,22
1618,83204,13
1619,17080,0
1620,86504,1
1621,55110,44
1622,46402,5
1624,26452,8
1625,21919,1
1626,40943,0
1627,68402,1
1628,80914,3
1629,1960,52
1631,61833,2
1632,11563,33
1633,72576,3
1636,47432,3
1637,28532,11
1638,45062,0
1639,50542,1
1640,3841,7
1641,46951,1
1642,6256,2
1643,86511,1
1644,62460,0
1645,83814,52
1646,95113,35
1647,51443,2
1648,43054,20
1649,97436,1
1650,17547,3
1651,80535,3
1652,61607,10
1655,15561,0
1656,38460,0
1657,84092,23
1658,40514,5
1659,56527,1
1660,30750,1
1661,95452,2
1665,13804,0
1667,20903,10
1668,1351,1
1669,11965,2
1670,47234,1
1672,60641,49
1673,29816,0
1674,17078,13
1676,46554,2
1677,73105,14
1678,41763,0
1679,20132,18
1680,89423,15
1681,56080,1
1682,49255,0
1685,45380,5
1686,62860,0
1687,77504,18
1688,49903,0
1689,54563,0
1690,71432,0
1692,93210,6
1693,5733,5
1695,49876,1
1696,20626,0
1697,6340,21
1698,58060,1
1699,49655,2
1700,5153,1
1701,18080,6
1702,55109,34
1703,92591,40
1704,75567,1
1705,21639,2
1707,30137,1
1708,49254,3
1709,2675,6
1710,35094,13
1711,89523,16
1712,79054,0
1713,55779,2
1714,46537,0
1715,76957,1
1717,92625,20
1718,29209,24
1720,5853,0
1721,71301,40
1722,58577,2
1723,33976,2
1724,62844,2
1725,75092,14
1727,68746,0
1729,35773,3
1730,17058,1
1731,38756,5
1732,66414,1
1733,59832,1
1734,1845,32
1735,95552,0
1736,95317,0
1737,97415,16
1738,49333,6
1740,59038,1
1741,53925,7
1742,15530,3
1743,49053,4
1744,65662,0
1745,43076,3
1746,25918,2
1747,89015,23
1749,62974,1
1750,92887,22
1751,7945,9
1752,99320,4
1753,56660,0
1754,56257,0
1755,71021,0
1756,87829,1
1758,16127,17
1759,75849,0
1760,98112,23
1761,19545,1
1762,78410,17
1763,72073,0
1764,48049,2
1765,6793,1
1766,61283,1
1768,38069,1
1769,70819,2
1770,50238,0
1771,37312,26
1772,61278,1
1773,74131,6
1774,56181,1
1775,54161,1
1776,47579,2
1777,29104,1
1778,70655,1
1780,63111,20
1781,4456,2
1782,50226,4
1783,19001,15
1785,89431,57
1786,64474,1
1787,44606,5
1788,75705,1
1789,7439,1
1790,61031,1
1791,48035,26
1792,13812,1
1793,35114,1
1795,53952,1
1796,47108,1
1799,32448,5
1800,89021,1
1801,28734,27
1802,37181,1
1804,67473,2
1805,32735,1
1807,8802,3
1810,91354,13
1811,60516,21
1812,25841,0
1815,95367,8
1816,52623,1
1817,98801,50
1818,76432,1
1819,57105,33
1820,87510,1
1821,3585,2
1822,36603,6
1824,34232,39
1825,97223,79
1826,79602,27
1828,98588,0
1829,48610,1
1830,84327,1
1831,84720,30
1832,65336,3
1833,24370,2
1834,43983,0
1835,43442,0
1836,65548,6
1837,49006,10
1838,23942,1
1839,48214,7
1840,7031,10
1842,70036,0
1843,55428,28
1844,77622,1
1846,94937,1
1847,65807,59
1848,97526,41
1849,94121,27
1850,14846,0
1851,95542,3
1853,56334,8
1855,47420,0
1857,31822,3
1858,53715,11
1859,82515,0
1861,1913,15
1862,50212,2
1863,83349,1
1865,58535,1
1866,89084,7
1869,44141,17
1871,43611,7
1872,72946,1
1874,8750,7
1875,61728,1
1876,83619,7
1877,67227,0
1878,92536,1
1880,53515,2
1882,15673,1
1883,78643,6
1884,60657,68
1885,8501,6
1886,73069,51
1888,55436,14
1889,56151,1
1891,18324,2
1892,37715,0
1893,98952,0
1895,45886,0
1896,25169,0
1897,8066,6
1899,94404,34
1900,78220,8
1901,56304,11
1902,6360,27
1903,7462,7
1905,45042,13
1906,66434,6
1908,75758,4
1909,20839,1
1911,60072,2
1912,77538,0
1913,15781,0
1914,45679,1
1915,27534,27
1916,18425,1
1918,66039,0
1920,28775,0
1921,2045,6
1922,67838,0
1923,50201,8
1924,33635,8
1925,33428,32
1926,40258,15
1927,92252,3
1930,79248,1
1931,50681,0
1932,98396,0
1933,50140,2
1934,75951,14
1935,11791,45
1936,29146,1
1937,76502,22
1938,18062,11
1939,87715,0
1942,46795,3
1943,74641,0
1944,29860,5
1945,26267,0
1946,60451,31
1947,8734,5
1948,16057,8
1949,22576,1
1950,68428,1
1951,25071,5
1952,45782,0
1953,67118,0
1954,95139,3
1955,8844,34
1956,12592,1
1957,68803,32
1958,14548,2
1960,55370,1
1964,60470,0
1965,52213,2
1966,95357,6
1967,87521,0
1968,16914,1
1969,43571,4
1972,49740,14
1973,54979,1
1974,17859,1
1975,52748,8
1977,61329,1
1978,45249,25
1980,26178,0
1982,36607,12
1984,84713,4
1985,50566,0
1986,27864,2
1987,92154,53
1989,46038,43
1992,75421,0
1993,56584,1
1994,7719,29
1995,43348,2
1996,35213,11
1997,34202,27
1998,12417,0
1999,60804,34
2000,12778,0
2002,78041,69
2003,75856,0
2004,13322,1
2005,49838,0
2006,62890,1
2007,55912,22
2008,27542,4
2009,25108,0
2010,70659,1
2011,54480,1
2012,56091,0
2013,66757,3
2016,63559,0
2017,23140,4
2018,36089,3
2020,14539,0
2021,52536,0
2022,94070,50
2023,50428,11
2024,48633,0
2025,25205,0
2026,45311,3
2027,33626,32
2028,4937,5
2029,5040,0
2030,23453,14
2031,92064,58
2032,4418,1
2033,52168,0
2034,74112,18
2035,57446,0
2036,98648,3
2037,13842,0
2038,73109,17
2039,62872,0
2040,56468,7
2042,38915,3
2043,90230,52
2044,4860,2
2045,66605,7
2046,23507,5
2048,92264,19
2049,75134,6
2050,6470,16
2051,59759,3
2053,60501,9
2054,65081,3
2055,24931,0
2056,3852,0
2057,68663,0
2058,45122,4
2059,38917,1
2060,14172,2
2061,66769,0
2062,78361,3
2063,40740,1
2064,50243,0
2065,20746,13
2066,60490,14
2067,72835,0
2068,23395,0
2070,24292,0
2071,97838,21
2072,68456,1
2074,1521,1
2075,65323,0
2076,40243,22
2078,22207,23
2079,72046,3
2080,84106,39
2082,93301,50
2083,15337,0
2084,48841,0
2085,92066,0
2086,16502,11
2087,23111,31
2089,67226,23
2091,49410,1
2092,49088,1
2093,67442,0
2094,86035,0
2095,6794,3
2096,23963,0
2098,26814,1
2100,1098,1
2101,13776,0
2102,90717,18
2103,74105,29
2104,45601,38
2105,50217,0
2107,63379,18
2109,6851,40
2110,95204,15
2111,87722,0
2112,49099,3
2113,17111,33
2114,97833,1
2115,62215,1
2116,76085,3
2117,68377,0
2118,63087,0
2119,11975,4
2120,68355,7
2122,8846,17
2123,8801,6
2124,94591,18
2125,61932,0
2126,12143,4
2127,74114,18
2128,85705,64
2129,17842,5
2130,73727,0
2131,4287,1
2132,36075,1
2134,39667,7
2136,14043,25
2137,14729,1
2138,60165,4
2139,5765,1
2141,52551,0
2142,33544,23
2143,38259,0
2144,25541,5
2145,64780,0
2146,35963,0
2147,5346,4
2151,56043,1
2152,47649,1
2153,70372,1
2156,93225,2
2157,10459,23
2159,75460,29
2160,50006,2
2164,39701,17
2165,55340,12
2166,21028,3
2167,47229,1
2168,74865,1
2171,42021,1
2172,99653,1
2173,13744,0
2174,28315,14
2175,77092,52
2176,74523,5
2177,72478,0
2179,81147,17
2180,75472,1
2181,12042,0
2182,85608,0
2184,80827,1
2186,83442,13
2187,78263,4
2188,20124,10
2190,62231,7
2191,41568,0
2192,48101,20
2193,55352,9
2194,8010,5
2197,99329,0
2198,85374,25
2199,1226,4
2200,77354,27
2201,62994,0
2202,84531,0
2203,21206,16
2204,39663,1
2205,74834,6
2206,89318,0
2207,30286,15
2208,29075,1
2209,80521,24
2210,59015,0
2211,12986,5
2212,58366,1
2213,84121,58
2214,33029,34
2215,2176,19
2216,25154,0
2217,71433,1
2218,60963,1
2222,75432,2
2223,61101,13
2224,93219,2
2225,36066,14
2226,26285,0
2227,95747,24
2228,78573,8
2229,71461,0
2230,13452,3
2231,28314,18
2232,15209,9
2234,18821,1
2235,51577,1
2236,75833,3
2237,40152,1
2238,94111,95
2239,60156,17
2242,30755,2
2243,71837,2
2245,47711,29
2246,6907,9
2248,4562,2
2249,75943,1
2250,73064,17
2251,47833,0
2252,1749,19
2253,65790,0
2254,83861,7
2255,4488,0
2256,24065,4
2257,55122,31
2258,61542,2
2259,75058,2
2260,60133,17
2261,30257,1
2262,48818,1
2264,66968,3
2265,45506,5
2266,13656,1
2267,96760,1
2268,54965,0
2269,47368,1
2270,60913,1
2271,11372,64
2272,60411,33
2273,52321,0
2274,31076,1
2276,12751,0
2278,70743,0
2279,47263,0
2280,67649,0
2281,97812,1
2282,74652,1
2283,4476,1
2285,16142,4
2286,28730,7
2287,41263,0
2288,6013,4
2291,95445,4
2292,54805,1
